ayah_key,script_type,display_text,exact_source_match,needs_human_review,notes
1:7,INDOPAK,"صِرَاطَ الَّذِيْنَ اَنْعَمْتَ عَلَيْهِمْ‮٦࣢ۙ غَيْرِ الْمَغْضُوْبِ عَلَيْهِمْ وَلَا الضَّا࢜لِّيْنَ ۝٧ࣖ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
2:1,UTHMANI,"الٓمٓ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
2:1,INDOPAK,"ال࢜مّ࢜ ۝١ۚ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
2:2,UTHMANI,"ذَٰلِكَ ٱلْكِتَـٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
2:2,INDOPAK,"ذٰلِكَ الْكِتٰبُ لَا رَيْبَۚۖۛ فِيْهِۚۛ هُدًي لِّلْمُتَّقِيْنَ ۝٢ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
2:3,UTHMANI,"ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَـٰهُمْ يُنفِقُونَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
2:3,INDOPAK,"الَّذِيْنَ يُو͏ٔ͏ْمِنُوْنَ بِالْغَيْبِ وَيُقِيْمُوْنَ الصَّلٰوةَ وَمِمَّا رَزَقْنٰهُمْ يُنْفِقُوْنَ ۝٣ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
2:4,UTHMANI,"وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْـَٔاخِرَةِ هُمْ يُوقِنُونَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
2:4,INDOPAK,"وَالَّذِيْنَ يُو͏ٔ͏ْمِنُوْنَ بِمَا͏ٓ اُنْزِلَ اِلَيْكَ وَمَا͏ٓ اُنْزِلَ مِنْ قَبْلِكَۚ وَبِالْاٰخِرَةِ هُمْ يُوْقِنُوْنَ ۝٤ؕ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
2:5,UTHMANI,"أُو۟لَـٰٓئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُو۟لَـٰٓئِكَ هُمُ ٱلْمُفْلِحُونَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
2:5,INDOPAK,"اُولٰ࢜ىِٕكَ عَلٰي هُدًي مِّنْ رَّبِّهِمْࣗ وَاُولٰ࢜ىِٕكَ هُمُ الْمُفْلِحُوْنَ ۝٥",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
2:255,UTHMANI,"ٱللَّهُ لَآ إِلَـٰهَ إِلَّا هُوَ ٱلْحَىُّ ٱلْقَيُّومُ ۚ لَا تَأْخُذُهُۥ سِنَةٌ وَلَا نَوْمٌ ۚ لَّهُۥ مَا فِى ٱلسَّمَـٰوَٰتِ وَمَا فِى ٱلْأَرْضِ ۗ مَن ذَا ٱلَّذِى يَشْفَعُ عِندَهُۥٓ إِلَّا بِإِذْنِهِۦ ۚ يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ ۖ وَلَا يُحِيطُونَ بِشَىْءٍ مِّنْ عِلْمِهِۦٓ إِلَّا بِمَا شَآءَ ۚ وَسِعَ كُرْسِيُّهُ ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضَ ۖ وَلَا يَـُٔودُهُۥ حِفْظُهُمَا ۚ وَهُوَ ٱلْعَلِىُّ ٱلْعَظِيمُ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
2:255,INDOPAK,"اَللّٰهُ لَا͏ٓ اِلٰهَ اِلَّا هُوَۚ اَلْحَيُّ الْقَيُّوْمُ࣢ۚ لَا تَاْخُذُهٗ سِنَةٌ وَّلَا نَوْمٌؕ لَهٗ مَا فِي السَّمٰوٰتِ وَمَا فِي الْاَرْضِؕ مَنْ ذَا الَّذِيْ يَشْفَعُ عِنْدَهٗٓ اِلَّا بِاِذْنِهٖؕ يَعْلَمُ مَا بَيْنَ اَيْدِيْهِمْ وَمَا خَلْفَهُمْۚ وَلَا يُحِيْطُوْنَ بِشَيْءٍ مِّنْ عِلْمِهٖٓ اِلَّا بِمَا شَا࢜ءَۚ وَسِعَ كُرْسِيُّهُ السَّمٰوٰتِ وَالْاَرْضَۚ وَلَا يَـُٔوْدُهٗ حِفْظُهُمَاۚ وَهُوَ الْعَلِيُّ الْعَظِيْمُ ۝٢٥٥",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
3:18,UTHMANI,"شَهِدَ ٱللَّهُ أَنَّهُۥ لَآ إِلَـٰهَ إِلَّا هُوَ وَٱلْمَلَـٰٓئِكَةُ وَأُو۟لُوا۟ ٱلْعِلْمِ قَآئِمًۢا بِٱلْقِسْطِ ۚ لَآ إِلَـٰهَ إِلَّا هُوَ ٱلْعَزِيزُ ٱلْحَكِيمُ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
3:18,INDOPAK,"شَهِدَ اللّٰهُ اَنَّهٗ لَا͏ٓ اِلٰهَ اِلَّا هُوَۙ وَالْمَلٰ࢜ىِٕكَةُ وَاُولُوا الْعِلْمِ قَا࢜ىِٕمًاۢ بِالْقِسْطِؕ لَا͏ٓ اِلٰهَ اِلَّا هُوَ الْعَزِيْزُ الْحَكِيْمُ ۝١٨ؕ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:1,UTHMANI,"يسٓ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:1,INDOPAK,"يٰس࢜ ۝١ۚ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:2,UTHMANI,"وَٱلْقُرْءَانِ ٱلْحَكِيمِ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:2,INDOPAK,"وَالْقُرْاٰنِ الْحَكِيْمِ ۝٢ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:3,UTHMANI,"إِنَّكَ لَمِنَ ٱلْمُرْسَلِينَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:3,INDOPAK,"اِنَّكَ لَمِنَ الْمُرْسَلِيْنَ ۝٣ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:4,UTHMANI,"عَلَىٰ صِرَٰطٍ مُّسْتَقِيمٍ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:4,INDOPAK,"عَلٰي صِرَاطٍ مُّسْتَقِيْمٍ ۝٤ؕ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:5,UTHMANI,"تَنزِيلَ ٱلْعَزِيزِ ٱلرَّحِيمِ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:5,INDOPAK,"تَنْزِيْلَ الْعَزِيْزِ الرَّحِيْمِ ۝٥ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:6,UTHMANI,"لِتُنذِرَ قَوْمًا مَّآ أُنذِرَ ءَابَآؤُهُمْ فَهُمْ غَـٰفِلُونَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:6,INDOPAK,"لِتُنْذِرَ قَوْمًا مَّا͏ٓ اُنْذِرَ اٰبَا࢜و͏ٔ͏ُهُمْ فَهُمْ غٰفِلُوْنَ ۝٦",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:7,UTHMANI,"لَقَدْ حَقَّ ٱلْقَوْلُ عَلَىٰٓ أَكْثَرِهِمْ فَهُمْ لَا يُؤْمِنُونَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:7,INDOPAK,"لَقَدْ حَقَّ الْقَوْلُ عَلٰٓي اَكْثَرِهِمْ فَهُمْ لَا يُو͏ٔ͏ْمِنُوْنَ ۝٧",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:8,UTHMANI,"إِنَّا جَعَلْنَا فِىٓ أَعْنَـٰقِهِمْ أَغْلَـٰلًا فَهِىَ إِلَى ٱلْأَذْقَانِ فَهُم مُّقْمَحُونَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:8,INDOPAK,"اِنَّا جَعَلْنَا فِيْٓ اَعْنَاقِهِمْ اَغْلٰلًا فَهِيَ اِلَي الْاَذْقَانِ فَهُمْ مُّقْمَحُوْنَ ۝٨",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:9,UTHMANI,"وَجَعَلْنَا مِنۢ بَيْنِ أَيْدِيهِمْ سَدًّا وَمِنْ خَلْفِهِمْ سَدًّا فَأَغْشَيْنَـٰهُمْ فَهُمْ لَا يُبْصِرُونَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:9,INDOPAK,"وَجَعَلْنَا مِنْۢ بَيْنِ اَيْدِيْهِمْ سَدًّا وَّمِنْ خَلْفِهِمْ سَدًّا فَاَغْشَيْنٰهُمْ فَهُمْ لَا يُبْصِرُوْنَ ۝٩",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:10,UTHMANI,"وَسَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:10,INDOPAK,"وَسَوَا࢜ءٌ عَلَيْهِمْ ءَاَنْذَرْتَهُمْ اَمْ لَمْ تُنْذِرْهُمْ لَا يُو͏ٔ͏ْمِنُوْنَ ۝١٠",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:11,UTHMANI,"إِنَّمَا تُنذِرُ مَنِ ٱتَّبَعَ ٱلذِّكْرَ وَخَشِىَ ٱلرَّحْمَـٰنَ بِٱلْغَيْبِ ۖ فَبَشِّرْهُ بِمَغْفِرَةٍ وَأَجْرٍ كَرِيمٍ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:11,INDOPAK,"اِنَّمَا تُنْذِرُ مَنِ اتَّبَعَ الذِّكْرَ وَخَشِيَ الرَّحْمٰنَ بِالْغَيْبِۚ فَبَشِّرْهُ بِمَغْفِرَةٍ وَّاَجْرٍ كَرِيْمٍ ۝١١",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:12,UTHMANI,"إِنَّا نَحْنُ نُحْىِ ٱلْمَوْتَىٰ وَنَكْتُبُ مَا قَدَّمُوا۟ وَءَاثَـٰرَهُمْ ۚ وَكُلَّ شَىْءٍ أَحْصَيْنَـٰهُ فِىٓ إِمَامٍ مُّبِينٍ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
36:12,INDOPAK,"اِنَّا نَحْنُ نُحْيِ الْمَوْتٰي وَنَكْتُبُ مَا قَدَّمُوْا وَاٰثَارَهُمْؕؔ وَكُلَّ شَيْءٍ اَحْصَيْنٰهُ فِيْٓ اِمَامٍ مُّبِيْنٍ ۝١٢ࣖ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:1,UTHMANI,"ٱلرَّحْمَـٰنُ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:1,INDOPAK,"اَلرَّحْمٰنُ ۝١ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:2,UTHMANI,"عَلَّمَ ٱلْقُرْءَانَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:2,INDOPAK,"عَلَّمَ الْقُرْاٰنَ ۝٢ؕ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:3,UTHMANI,"خَلَقَ ٱلْإِنسَـٰنَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:3,INDOPAK,"خَلَقَ الْاِنْسَانَ ۝٣ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:4,UTHMANI,"عَلَّمَهُ ٱلْبَيَانَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:4,INDOPAK,"عَلَّمَهُ الْبَيَانَ ۝٤",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:5,UTHMANI,"ٱلشَّمْسُ وَٱلْقَمَرُ بِحُسْبَانٍ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:5,INDOPAK,"اَلشَّمْسُ وَالْقَمَرُ بِحُسْبَانٍ ۝٥ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:6,UTHMANI,"وَٱلنَّجْمُ وَٱلشَّجَرُ يَسْجُدَانِ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:6,INDOPAK,"وَّالنَّجْمُ وَالشَّجَرُ يَسْجُدٰنِ ۝٦",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:7,UTHMANI,"وَٱلسَّمَآءَ رَفَعَهَا وَوَضَعَ ٱلْمِيزَانَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:7,INDOPAK,"وَالسَّمَا࢜ءَ رَفَعَهَا وَوَضَعَ الْمِيْزَانَ ۝٧ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:8,UTHMANI,"أَلَّا تَطْغَوْا۟ فِى ٱلْمِيزَانِ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:8,INDOPAK,"اَلَّا تَطْغَوْا فِي الْمِيْزَانِ ۝٨",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:9,UTHMANI,"وَأَقِيمُوا۟ ٱلْوَزْنَ بِٱلْقِسْطِ وَلَا تُخْسِرُوا۟ ٱلْمِيزَانَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:9,INDOPAK,"وَاَقِيْمُوا الْوَزْنَ بِالْقِسْطِ وَلَا تُخْسِرُوا الْمِيْزَانَ ۝٩",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:10,UTHMANI,"وَٱلْأَرْضَ وَضَعَهَا لِلْأَنَامِ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:10,INDOPAK,"وَالْاَرْضَ وَضَعَهَا لِلْاَنَامِ ۝١٠ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:11,UTHMANI,"فِيهَا فَـٰكِهَةٌ وَٱلنَّخْلُ ذَاتُ ٱلْأَكْمَامِ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:11,INDOPAK,"فِيْهَا فَاكِهَةٌ وَّالنَّخْلُ ذَاتُ الْاَكْمَامِ ۝١١ۖ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:12,UTHMANI,"وَٱلْحَبُّ ذُو ٱلْعَصْفِ وَٱلرَّيْحَانُ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:12,INDOPAK,"وَالْحَبُّ ذُو الْعَصْفِ وَالرَّيْحَانُ ۝١٢ۚ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:13,UTHMANI,"فَبِأَىِّ ءَالَآءِ رَبِّكُمَا تُكَذِّبَانِ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
55:13,INDOPAK,"فَبِاَيِّ اٰلَا࢜ءِ رَبِّكُمَا تُكَذِّبٰنِ ۝١٣",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:1,UTHMANI,"تَبَـٰرَكَ ٱلَّذِى بِيَدِهِ ٱلْمُلْكُ وَهُوَ عَلَىٰ كُلِّ شَىْءٍ قَدِيرٌ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:1,INDOPAK,"تَبٰرَكَ الَّذِيْ بِيَدِهِ الْمُلْكُؗ وَهُوَ عَلٰي كُلِّ شَيْءٍ قَدِيْرُ ۝١ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:2,UTHMANI,"ٱلَّذِى خَلَقَ ٱلْمَوْتَ وَٱلْحَيَوٰةَ لِيَبْلُوَكُمْ أَيُّكُمْ أَحْسَنُ عَمَلًا ۚ وَهُوَ ٱلْعَزِيزُ ٱلْغَفُورُ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:2,INDOPAK,"اࣙلَّذِيْ خَلَقَ الْمَوْتَ وَالْحَيٰوةَ لِيَبْلُوَكُمْ اَيُّكُمْ اَحْسَنُ عَمَلًاؕ وَهُوَ الْعَزِيْزُ الْغَفُوْرُ ۝٢ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:3,UTHMANI,"ٱلَّذِى خَلَقَ سَبْعَ سَمَـٰوَٰتٍ طِبَاقًا ۖ مَّا تَرَىٰ فِى خَلْقِ ٱلرَّحْمَـٰنِ مِن تَفَـٰوُتٍ ۖ فَٱرْجِعِ ٱلْبَصَرَ هَلْ تَرَىٰ مِن فُطُورٍ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:3,INDOPAK,"الَّذِيْ خَلَقَ سَبْعَ سَمٰوٰتٍ طِبَاقًاؕ مَا تَرٰي فِيْ خَلْقِ الرَّحْمٰنِ مِنْ تَفٰوُتٍؕ فَارْجِعِ الْبَصَرَۙ هَلْ تَرٰي مِنْ فُطُوْرٍ ۝٣",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:4,UTHMANI,"ثُمَّ ٱرْجِعِ ٱلْبَصَرَ كَرَّتَيْنِ يَنقَلِبْ إِلَيْكَ ٱلْبَصَرُ خَاسِئًا وَهُوَ حَسِيرٌ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:4,INDOPAK,"ثُمَّ ارْجِعِ الْبَصَرَ كَرَّتَيْنِ يَنْقَلِبْ اِلَيْكَ الْبَصَرُ خَاسِي͏ٔ͏ًا وَّهُوَ حَسِيْرٌ ۝٤",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:5,UTHMANI,"وَلَقَدْ زَيَّنَّا ٱلسَّمَآءَ ٱلدُّنْيَا بِمَصَـٰبِيحَ وَجَعَلْنَـٰهَا رُجُومًا لِّلشَّيَـٰطِينِ ۖ وَأَعْتَدْنَا لَهُمْ عَذَابَ ٱلسَّعِيرِ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:5,INDOPAK,"وَلَقَدْ زَيَّنَّا السَّمَا࢜ءَ الدُّنْيَا بِمَصَابِيْحَ وَجَعَلْنٰهَا رُجُوْمًا لِّلشَّيٰطِيْنِ وَاَعْتَدْنَا لَهُمْ عَذَابَ السَّعِيْرِ ۝٥",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:6,UTHMANI,"وَلِلَّذِينَ كَفَرُوا۟ بِرَبِّهِمْ عَذَابُ جَهَنَّمَ ۖ وَبِئْسَ ٱلْمَصِيرُ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:6,INDOPAK,"وَلِلَّذِيْنَ كَفَرُوْا بِرَبِّهِمْ عَذَابُ جَهَنَّمَؕ وَبِي͏ٔ͏ْسَ الْمَصِيْرُ ۝٦",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:7,UTHMANI,"إِذَآ أُلْقُوا۟ فِيهَا سَمِعُوا۟ لَهَا شَهِيقًا وَهِىَ تَفُورُ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:7,INDOPAK,"اِذَا͏ٓ اُلْقُوْا فِيْهَا سَمِعُوْا لَهَا شَهِيْقًا وَّهِيَ تَفُوْرُ ۝٧ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:8,UTHMANI,"تَكَادُ تَمَيَّزُ مِنَ ٱلْغَيْظِ ۖ كُلَّمَآ أُلْقِىَ فِيهَا فَوْجٌ سَأَلَهُمْ خَزَنَتُهَآ أَلَمْ يَأْتِكُمْ نَذِيرٌ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:8,INDOPAK,"تَكَادُ تَمَيَّزُ مِنَ الْغَيْظِؕ كُلَّمَا͏ٓ اُلْقِيَ فِيْهَا فَوْجٌ سَاَلَهُمْ خَزَنَتُهَا͏ٓ اَلَمْ يَاْتِكُمْ نَذِيْرٌ ۝٨",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:9,UTHMANI,"قَالُوا۟ بَلَىٰ قَدْ جَآءَنَا نَذِيرٌ فَكَذَّبْنَا وَقُلْنَا مَا نَزَّلَ ٱللَّهُ مِن شَىْءٍ إِنْ أَنتُمْ إِلَّا فِى ضَلَـٰلٍ كَبِيرٍ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:9,INDOPAK,"قَالُوْا بَلٰي قَدْ جَا࢜ءَنَا نَذِيْرٌ࣢ۙ فَكَذَّبْنَا وَقُلْنَا مَا نَزَّلَ اللّٰهُ مِنْ شَيْءٍۚۖ اِنْ اَنْتُمْ اِلَّا فِيْ ضَلٰلٍ كَبِيْرٍ ۝٩",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:10,UTHMANI,"وَقَالُوا۟ لَوْ كُنَّا نَسْمَعُ أَوْ نَعْقِلُ مَا كُنَّا فِىٓ أَصْحَـٰبِ ٱلسَّعِيرِ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
67:10,INDOPAK,"وَقَالُوْا لَوْ كُنَّا نَسْمَعُ اَوْ نَعْقِلُ مَا كُنَّا فِيْٓ اَصْحٰبِ السَّعِيْرِ ۝١٠",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
112:1,UTHMANI,"قُلْ هُوَ ٱللَّهُ أَحَدٌ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
112:1,INDOPAK,"قُلْ هُوَ اللّٰهُ اَحَدٌ ۝١ۚ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
112:2,UTHMANI,"ٱللَّهُ ٱلصَّمَدُ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
112:2,INDOPAK,"اَللّٰهُ الصَّمَدُ ۝٢ۚ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
112:3,UTHMANI,"لَمْ يَلِدْ وَلَمْ يُولَدْ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
112:3,INDOPAK,"لَمْ يَلِدْ࣢ۙ وَلَمْ يُوْلَدْ ۝٣ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
112:4,UTHMANI,"وَلَمْ يَكُن لَّهُۥ كُفُوًا أَحَدٌۢ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
112:4,INDOPAK,"وَلَمْ يَكُنْ لَّهٗ كُفُوًا اَحَدٌ ۝٤ࣖ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
113:1,UTHMANI,"قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
113:1,INDOPAK,"قُلْ اَعُوْذُ بِرَبِّ الْفَلَقِ ۝١ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
113:2,UTHMANI,"مِن شَرِّ مَا خَلَقَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
113:2,INDOPAK,"مِنْ شَرِّ مَا خَلَقَ ۝٢ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
113:3,UTHMANI,"وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
113:3,INDOPAK,"وَمِنْ شَرِّ غَاسِقٍ اِذَا وَقَبَ ۝٣ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
113:4,UTHMANI,"وَمِن شَرِّ ٱلنَّفَّـٰثَـٰتِ فِى ٱلْعُقَدِ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
113:4,INDOPAK,"وَمِنْ شَرِّ النَّفّٰثٰتِ فِي الْعُقَدِ ۝٤ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
113:5,UTHMANI,"وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
113:5,INDOPAK,"وَمِنْ شَرِّ حَاسِدٍ اِذَا حَسَدَ ۝٥ࣖ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
